name,name_ko,current_lat,current_lon,kakao_lat,kakao_lon,distance_m,kakao_url,flagged
Nishimuramen,니시무라멘,37.5633606727732,126.92526373304,37.5633606727732,126.92526373304,0.0,http://place.map.kakao.com/1897298692,no
Oegojip Seolleongtang,외고집 설렁탕,37.5110148935604,127.053901906685,37.5110148935604,127.053901906685,0.0,http://place.map.kakao.com/8024422,no
Oilje,오일제,37.5325404365087,126.974736120327,37.5325404365087,126.974736120327,0.0,http://place.map.kakao.com/772669037,no
Okdol Heyonok,옥돌현옥,37.5015113895027,127.124075360931,37.5015113895027,127.124075360931,0.0,http://place.map.kakao.com/1267900736,no
Okdongsik,옥동식,37.5526765694055,126.914521071507,37.5526765694055,126.914521071507,0.0,http://place.map.kakao.com/1797997961,no
ON,온,37.5219820793314,127.049389409204,37.5219820793314,127.049389409204,0.0,http://place.map.kakao.com/119121179,no
One Degree North,원 디그리 노스,37.516705690339634,127.03744666258042,37.516705690339634,127.03744666258042,0.0,http://place.map.kakao.com/2134166440,no
Onjium,온지음,37.580494739542516,126.97339071212892,37.580494739542516,126.97339071212892,0.0,http://place.map.kakao.com/27050439,no
Onyva,오니바,37.5251929281367,127.045718271749,37.5251929281367,127.045718271749,0.0,http://place.map.kakao.com/706361129,no
OPNNG,오프닝,37.5188924866535,127.031018121292,37.5188924866535,127.031018121292,0.0,http://place.map.kakao.com/2010673091,no
Oreno Ramen,오레노 라멘,37.54725761707835,126.91783721734953,37.54725761707835,126.91783721734953,0.0,http://place.map.kakao.com/1916682638,no
Original Numbers,오리지널 넘버스,37.5250983502594,127.040719110319,37.5250983502594,127.040719110319,0.0,http://place.map.kakao.com/1952752710,no
Osteria Orzo,오스테리아 오르조,37.53488535979127,127.00949263719748,37.53488535979127,127.00949263719748,0.0,http://place.map.kakao.com/604720323,no
Palais de Chine,팔레드 신,37.55973351743263,126.97953708475447,37.55973351743263,126.97953708475447,0.0,http://place.map.kakao.com/1024056719,no
PERIGEE,페리지,37.5112420827286,127.049472816828,37.5112420827286,127.049472816828,0.0,http://place.map.kakao.com/1225485049,no
Pierre Gagnaire,피에르 가니에르,37.5653451615156,126.980957195279,37.5653451615156,126.980957195279,0.0,http://place.map.kakao.com/7856129,no
Pildong Myeonok,필동면옥,37.5603983847784,126.99693958989,37.5603983847784,126.99693958989,0.0,http://place.map.kakao.com/11231325,no
Pyeongyang Myeonok,평양면옥,37.56324808702588,127.00669603395768,37.56324808702588,127.00669603395768,0.0,http://place.map.kakao.com/13093208,no
Restaurant Allen,레스토랑 알렌,37.50347843657701,127.04165283886103,37.50347843657701,127.04165283886103,0.0,http://place.map.kakao.com/712421222,no
JUEUN,레스토랑 주은,37.5729202740695,126.97006318267,37.5729202740695,126.97006318267,0.0,http://place.map.kakao.com/690680212,no
Restaurant OY,레스토랑 오와이,37.5222277531013,127.04326282119,37.5222277531013,127.04326282119,0.0,http://place.map.kakao.com/1926213275,no
Rialto,리알토,37.5231995946604,127.046528158909,37.5231995946604,127.046528158909,0.0,http://place.map.kakao.com/435025515,no
RMW Carne,RMW Carne,37.5348433911478,127.00085874941644,37.5348433911478,127.00085874941644,0.0,http://place.map.kakao.com/1372419411,no
Ryunique,류니끄,37.52294828593302,127.03601084200243,37.52294828593302,127.03601084200243,0.0,http://place.map.kakao.com/230977095,no
Samwon Garden,삼원가든,37.52482605288599,127.03264282010882,37.52482605288599,127.03264282010882,0.0,http://place.map.kakao.com/19351143,no
SAN,레스토랑 산,37.5263564954611,127.033920717797,37.5263564954611,127.033920717797,0.0,http://place.map.kakao.com/1828674706,no
Sanro,산로,37.5241749549766,127.049781139783,37.5241749549766,127.049781139783,0.0,http://place.map.kakao.com/1305393760,no
